Model,Energy (mJ),Latency (s),error,exit_code,Batch_size,Mode
resnet18,46.79760280927023,0.008317224502563477,,0,1,0
resnet18,56.78939586400985,0.008258558750152589,,0,1,1
resnet18,64.88895344018937,0.006768978595733642,,0,1,2
resnet18,79.67215454657874,0.011472529888153076,,0,2,0
resnet18,88.71908456484476,0.00830652904510498,,0,2,1
resnet18,76.52471401691436,0.007450647354125976,,0,2,2
resnet18,148.47044608866582,0.01884180498123169,,0,4,0
